job_title,salary_2022,salary_2023
AI Architect,,250328.0
AI Developer,275000.0,133266.82352941178
AI Engineer,,171663.97222222222
AI Programmer,40000.0,76021.75
AI Research Engineer,36940.0,85382.0
AI Scientist,140815.0,68498.14285714286
AWS Data Architect,,258000.0
Analytics Engineer,140299.625,159422.195
Analytics Engineering Manager,,399880.0
Applied Data Scientist,160800.0,60526.75
Applied Machine Learning Engineer,,141726.33333333334
Applied Machine Learning Scientist,98287.5,66593.5
Applied Scientist,188311.11111111112,190303.4527559055
Autonomous Vehicle Technician,,120000.0
Azure Data Engineer,,100000.0
BI Analyst,100500.0,131484.84
BI Data Analyst,61975.666666666664,60389.666666666664
BI Data Engineer,,60000.0
BI Developer,130000.0,114532.04081632652
Big Data Architect,,153799.0
Big Data Engineer,161311.0,89292.5
Business Data Analyst,83426.6,69071.125
Business Intelligence Analyst,,125127.79629629629
Business Intelligence Data Analyst,,83209.5
Business Intelligence Developer,15000.0,117877.1875
Business Intelligence Engineer,,151404.91666666666
Business Intelligence Manager,,135000.0
Business Intelligence Specialist,,144153.0
Cloud Data Engineer,,138588.5
Cloud Database Engineer,175000.0,141666.66666666666
Compliance Data Analyst,,45000.0
Computer Vision Engineer,91918.5,202600.84210526315
Computer Vision Software Engineer,150000.0,53984.0
Consultant Data Engineer,,118539.0
Data Analyst,108658.28676470589,110988.3932172319
Data Analytics Consultant,81500.0,
Data Analytics Engineer,77500.0,
Data Analytics Lead,405000.0,113812.0
Data Analytics Manager,133991.42857142858,150421.42857142858
Data Analytics Specialist,,95000.0
Data Architect,166091.54347826086,163443.17073170733
Data DevOps Engineer,,74498.0
Data Developer,,103738.16666666667
Data Engineer,139803.40041067763,149944.58844765343
Data Infrastructure Engineer,,201375.41666666666
Data Integration Engineer,,118000.0
Data Integration Specialist,,96605.0
Data Lead,,184642.85714285713
Data Management Analyst,,56000.0
Data Management Specialist,68293.0,116523.25
Data Manager,101839.42857142857,110311.28
Data Modeler,,127595.63636363637
Data Modeller,,83052.0
Data Operations Analyst,90562.5,94456.66666666667
Data Operations Engineer,81875.0,184987.5
Data Operations Manager,,136000.0
Data Operations Specialist,,55355.0
Data Product Manager,,142750.0
Data Product Owner,,89204.0
Data Quality Analyst,,85215.4
Data Quality Engineer,,95584.33333333333
Data Science Consultant,92388.4,114864.57142857143
Data Science Director,,201000.0
Data Science Engineer,60000.0,157379.45454545456
Data Science Lead,165000.0,170124.16666666666
Data Science Manager,191360.3,209644.69811320756
Data Science Practitioner,,144480.0
Data Science Tech Lead,375000.0,
Data Scientist,138529.09547738693,163713.76527958387
Data Scientist Lead,136153.0,
Data Specialist,118181.81818181818,94967.85714285714
Data Strategist,,95833.88888888889
Data Strategy Manager,,138750.0
Data Visualization Analyst,,120000.0
Data Visualization Engineer,,122975.0
Data Visualization Specialist,,122275.0
Decision Scientist,,166094.63157894736
Deep Learning Engineer,67723.0,215424.4
Deep Learning Researcher,,124163.0
Director of Data Science,124911.5,238153.52380952382
ETL Developer,131453.6,123125.0
ETL Engineer,,72286.0
Finance Data Analyst,,181952.5
Financial Data Analyst,87500.0,93250.0
Head of Data,149130.0,223261.42307692306
Head of Data Science,195937.5,213281.0
Head of Machine Learning,,259000.0
Insight Analyst,,47673.875
Lead Data Analyst,,68000.0
Lead Data Engineer,115222.0,
Lead Data Scientist,122537.4,36000.0
Lead Machine Learning Engineer,76698.5,115000.0
ML Engineer,155627.53333333333,205157.6590909091
MLOps Engineer,129000.0,117440.88888888889
Machine Learning Developer,81325.6,
Machine Learning Engineer,151775.39252336448,191026.4247685185
Machine Learning Infrastructure Engineer,130161.66666666667,164062.68181818182
Machine Learning Manager,175000.0,129562.0
Machine Learning Modeler,,173350.0
Machine Learning Operations Engineer,,60000.0
Machine Learning Research Engineer,66192.0,81912.0
Machine Learning Researcher,117047.2,148125.0
Machine Learning Scientist,137569.42857142858,183452.3103448276
Machine Learning Software Engineer,240440.0,195700.0
Machine Learning Specialist,,55000.0
Manager Data Management,125000.0,
Marketing Data Analyst,200000.0,
NLP Engineer,52182.5,146283.5
Power BI Developer,,64781.0
Principal Data Analyst,75000.0,
Principal Data Engineer,,91773.0
Principal Data Scientist,155499.0,147124.66666666666
Principal Machine Learning Engineer,190000.0,99145.0
Product Data Analyst,120000.0,70100.0
Research Analyst,,93450.43589743589
Research Engineer,165838.7142857143,183709.03649635037
Research Scientist,142188.73333333334,190670.10330578513
Software Data Engineer,,111627.66666666667
Staff Data Analyst,,179998.0
